,NAME,Total Population,Total Male Population,Total Female Population,White - Total Population,White - Total Male Population,White - Total Female Population,African American - Total Population,African American - Total Male Population,African American - Total Female Population,American Indian - Total Population,American Indian - Total Male Population,American Indian - Total Female Population,Asian - Total Population,Asian - Total Male Population,Asian - Total Female Population,Native Hawaiian - Total Population,Native Hawaiian - Total Male Population,Native Hawaiian - Total Female Population,Other Races - Total Population,Other Races - Total Male Population,Other Races - Total Female Population,Two or More Races - Total Population,Two or More Races - Total Male Population,Two or More Races - Total Female Population,Hispanic or Latino - Total Population,Hispanic or Latino - Total Male Population,Hispanic or Latino - Total Female Population,Median Age,Male - Median Age,Female - Median Age,"U.S. citizen, born in the United States","U.S. citizen, born in Puerto Rico or U.S. Island Areas","U.S. citizen, born abroad of American parent(s)",U.S. citizen by naturalization,Not a U.S. citizen,Not a citizen - European,Not a citizen - Asian,Not a citizen - African,Not a citizen - Oceania,Not a citizen - Latin America,Not a citizen - North America,No Income,Total Housing Units,Housing Units - Owner occupied,Housing Units - Renter occupied,Median House Value,Lower Quartile House Value,Upper Quartile House Value,Median Household Income,Average Household Income,Total num of families,RATIO OF INCOME TO POVERTY Under .50,RATIO OF INCOME TO POVERTY 0.50-0.74,RATIO OF INCOME TO POVERTY 0.75-0.99,RATIO OF INCOME TO POVERTY 1.0-1.24,RATIO OF INCOME TO POVERTY 1.24 - 1.49,RATIO OF INCOME TO POVERTY 1.50 - 1.74,RATIO OF INCOME TO POVERTY 1.75 - 1.84,RATIO OF INCOME TO POVERTY 1.85 - 1.99,RATIO OF INCOME TO POVERTY 2.0 - 2.99,RATIO OF INCOME TO POVERTY 3.0 - 3.99,RATIO OF INCOME TO POVERTY 4.0 - 4.99,RATIO OF INCOME TO POVERTY 5.0 and over
33,North Carolina,10052564,4895368,5157196,6937466,3408335,3529131,2159427,1011721,1147706,117998,57035,60963,269164,129300,139864,6393,2922,3471,310920,163267,147653,251196,122788,128408,914792,478189,436603,38.4,36.9,36.9,9147058.0,32810.0,84725.0,289662.0,498309.0,33648,105502,24730,2025,321557,10815,1093466.0,4521697,6461514,3323467,161000,97200,260800,50320,273231005100,2551439,120589,83434,96316,106368,112504,118147,45847,69957,431485,361682,283418,721692
34,North Dakota,745475,382121,363354,654024,334441,319583,17365,10288,7077,39507,19606,19901,10197,4898,5299,341,158,183,6600,3475,3125,17441,9255,8186,24744,13326,11418,35.1,34.1,34.1,712761.0,875.0,5124.0,10420.0,16295.0,1456,6567,3826,85,2759,1602,44300.0,360660,488995,230068,174100,96800,268000,61285,25337624600,187057,5989,3068,3631,4754,5350,5448,2377,3895,27434,28874,24875,71362
35,Ohio,11609756,5686081,5923675,9503779,4666128,4837651,1428230,682945,745285,21872,11470,10402,235878,112330,123548,3499,1597,1902,103726,55293,48433,312772,156318,156454,414490,213162,201328,39.3,37.8,37.8,11011732.0,39166.0,56523.0,254415.0,247920.0,30774,114536,30128,1462,63296,7724,1042083.0,5174838,7760123,3536857,135100,84400,208300,52407,329503027000,2956437,137590,88343,93379,103503,105696,113664,48883,70688,493727,456856,362930,881178
36,Oklahoma,3896251,1930615,1965636,2828569,1398167,1430402,283821,142002,141819,289871,141770,148101,80670,37550,43120,5543,2765,2778,105686,57807,47879,302091,150554,151537,394879,206808,188071,36.3,35.1,35.1,3629150.0,4513.0,33002.0,79098.0,150488.0,6546,30419,5420,1603,104352,2148,423044.0,1712841,2528134,1258591,125800,74600,196600,49767,99422855000,971692,46608,31228,37294,42122,45348,45510,19032,26166,173392,141073,108306,255613
37,Oregon,4025127,1993822,2031305,3416776,1689358,1727418,76347,41453,34894,45332,22868,22464,166351,76146,90205,15157,7778,7379,121000,64443,56557,184164,91776,92388,509507,264513,244994,39.2,38.1,38.1,3579822.0,6254.0,40650.0,168764.0,229637.0,24255,55117,6772,4840,132007,6646,378983.0,1733041,2491604,1445270,265700,171000,390800,56119,119209187100,994742,38578,27136,31753,36951,37072,41061,16781,24525,161415,143120,114709,321641
38,Pennsylvania,12790505,6260160,6530345,10378174,5084157,5294017,1417611,683422,734189,24995,12900,12095,417525,199726,217799,3665,1608,2057,251215,130291,120924,297320,148056,149264,874833,447091,427742,40.7,39.0,39.0,11728385.0,144938.0,75451.0,438578.0,403153.0,54591,156823,33060,1900,148464,8315,1211177.0,5653599,8912408,3450829,170500,100900,274200,56951,391542463400,3217046,117605,81098,87134,97327,106409,114449,50879,74290,513806,483052,393902,1097095
39,Rhode Island,1056138,512581,543557,854801,412108,442693,68346,34382,33964,5413,2624,2789,35556,16706,18850,759,398,361,59967,30485,29482,31296,15878,15418,153910,76980,76930,39.9,38.1,38.1,888245.0,14201.0,9482.0,76866.0,67344.0,9804,14168,6828,100,35230,1214,93765.0,466670,645910,368641,242200,172700,353400,61043,33954030300,258300,9590,6868,8035,8050,7455,10368,3433,4513,35942,33741,31593,98712
40,South Carolina,4893444,2376759,2516685,3292598,1616909,1675689,1332110,622818,709292,14992,7655,7337,71994,33368,38626,3015,1543,1472,74328,41732,32596,104407,52734,51673,267398,143614,123784,39.0,37.4,37.4,4602760.0,12720.0,40175.0,95882.0,141907.0,16497,26608,4107,1300,89668,3727,532998.0,2229324,3285131,1471275,148600,83200,243100,48781,124926613600,1238361,65095,40440,47152,51340,55030,58570,23985,35865,211320,181283,138131,330150
41,South Dakota,855444,430587,424857,724430,364185,360245,14698,8594,6104,74062,36612,37450,11693,5678,6015,381,167,214,6687,3464,3223,23493,11887,11606,29901,15953,13948,36.8,35.7,35.7,821815.0,615.0,4656.0,10470.0,17888.0,1615,6479,3899,59,5179,657,51815.0,382912,582238,239218,152700,84500,233400,54126,24130352600,216154,8246,4949,6149,6730,7549,8182,3331,5201,38136,36177,28130,63374
42,Tennessee,6597381,3217073,3380308,5131786,2515956,2615830,1107392,523513,583879,17568,8312,9256,110605,51288,59317,3784,1860,1924,88745,48126,40619,137501,68018,69483,340063,180461,159602,38.6,37.3,37.3,6215322.0,9541.0,45564.0,121260.0,205694.0,13612,50894,16535,1188,118473,4822,704887.0,2903199,4338361,2105024,151700,90200,241700,48708,174192291700,1689483,84540,57577,66613,73197,76416,78519,30301,47890,297543,250073,184644,442170
43,Texas,27419612,13616977,13802635,20459525,10178023,10281502,3286950,1592037,1694913,130360,67172,63188,1236852,600899,635953,23531,11104,12427,1580393,818058,762335,702001,349684,352317,10673909,5371106,5302803,34.3,33.3,33.3,22400946.0,90475.0,305796.0,1667217.0,2955178.0,90263,431809,106967,8742,2289164,28233,3560726.0,10611386,17372131,9442882,151500,86800,249400,57051,762719105900,6560303,315583,225315,271837,292565,296993,297615,115862,170525,1036464,862265,660425,2014854
44,Utah,2993941,1506614,1487327,2600077,1305539,1294538,33619,19489,14130,32079,15444,16635,67545,31929,35616,26742,13661,13081,150596,78350,72246,83283,42202,41081,409311,210347,198964,30.5,30.0,30.0,2715182.0,4331.0,26270.0,94347.0,153811.0,9139,26042,4641,4129,105370,4466,305960.0,1046597,2124029,823437,238300,166600,348100,65325,78022455800,704250,21591,15017,18981,23002,26524,30002,12580,18677,134964,117594,86293,199025
45,Vermont,624636,308026,316610,590499,291411,299088,7921,4577,3344,2072,730,1342,9680,4255,5425,206,68,138,2197,1054,1143,12061,5931,6130,11183,5527,5656,42.8,41.4,41.4,590271.0,675.0,5477.0,15501.0,12712.0,2825,4814,1326,175,1400,2172,39079.0,331106,441147,158240,220600,150900,318400,57808,19550762200,158567,4540,3235,3800,4646,4889,5912,2548,3266,24580,24322,21788,55041
46,Virginia,8365952,4113988,4251964,5720209,2834615,2885594,1605447,768320,837127,22499,11145,11354,520119,244605,275514,5469,2525,2944,200265,105864,94401,291944,146914,145030,749458,387526,361932,38.0,36.7,36.7,7192614.0,35957.0,122415.0,518288.0,496678.0,38358,171564,44465,1952,233822,6517,830659.0,3466921,5476484,2646920,255800,155600,422400,68766,292641145700,2078081,68978,43279,49816,60308,62963,69631,28756,41729,290286,275287,233471,853577
47,Washington,7169967,3580888,3589079,5500837,2748877,2751960,261743,141269,120474,94754,46864,47890,578822,267385,311437,46071,23217,22854,293007,154402,138605,394733,198874,195859,882108,456467,425641,37.6,36.6,36.6,6056667.0,25233.0,101552.0,464628.0,521887.0,59430,182516,24226,10522,222428,22765,706106.0,3025516,4552897,2474731,286800,184500,443400,66174,244052761400,1782539,59146,37397,46349,51829,57953,59218,24918,37674,253738,245646,210230,698441
48,West Virginia,1836843,907621,929222,1714591,843109,871482,65300,35572,29728,3322,1554,1768,14096,6572,7524,541,204,337,7193,4293,2900,31800,16317,15483,27021,14143,12878,42.2,40.8,40.8,1797622.0,1954.0,7689.0,14950.0,14628.0,2339,6259,1019,399,3954,658,209388.0,889277,1329875,458746,111600,62800,181900,44061,43990046700,481024,25305,18245,18951,21134,22432,23435,9290,14107,88229,76496,54526,108874
49,Wisconsin,5763217,2864115,2899102,4950577,2461642,2488935,365884,178520,187364,50094,25293,24801,152325,73606,78719,1811,813,998,111435,58134,53301,131091,66107,64984,380590,196697,183893,39.2,38.1,38.1,5434846.0,19023.0,27957.0,125644.0,155747.0,15949,47737,6033,810,81483,3729,409859.0,2668692,3942240,1673549,169300,113000,253600,56759,173194589600,1481526,45481,35091,39619,43718,47180,54083,22366,32992,240145,237359,203186,480306
50,Wyoming,583200,298301,284899,532394,271608,260786,6121,3777,2344,13549,6905,6644,5102,2253,2849,470,319,151,10247,5340,4907,15317,8099,7218,56681,30114,26567,37.0,36.0,36.0,557917.0,330.0,4234.0,7912.0,12807.0,1352,2028,619,198,8080,530,41397.0,273088,403464,165545,204900,134600,296000,60938,17666420100,149097,4448,2821,3673,4578,4564,5293,2302,3675,23344,23393,19495,51511
51,Puerto Rico,3468963,1653997,1814966,2389446,1127463,1261983,338939,165237,173702,10849,5037,5812,7789,2240,5549,136,93,43,511785,250962,260823,210019,102965,107054,3432611,1635468,1797143,40.1,38.1,38.1,,,,,,2308,933,92,130,46198,273,,1567300,2389196,1040651,115300,81300,164300,19775,38721776300,850665,190223,80176,79900,73098,67689,58012,19290,28130,122660,58520,29166,43801
